"","species","labels"
"733","Eugenia riograndis","LC"
"734","Eugenia rotundicosta","VU"
"735","Eugenia rubella","EN"
"736","Eugenia savannarum","LC"
"737","Eugenia sclerocalyx","LC"
"738","Eugenia sparsa","LC"
"739","Eugenia squamiflora","EN"
"740","Eugenia suberosa","LC"
"741","Eugenia subterminalis","LC"
"742","Eugenia tonii","EN"
"743","Eugenia trunciflora","LC"
"744","Eugenia verapazensis","EN"
"745","Eugenia vesca","EN"
"746","Eugenia viridiflora","EN"
"747","Eugenia xalapensis","LC"
"748","Euphorbia leucocephala","LC"
"749","Euphorbia schlechtendalii","LC"
"750","Euterpe edulis","LC"
"751","Euterpe longibracteata","LC"
"752","Euterpe oleracea","LC"
"753","Exellodendron gardneri","LC"
"754","Faramea hyacinthina","LC"
"755","Faramea latifolia","LC"
"756","Faramea martiana","LC"
"757","Faramea montevidensis","LC"
"758","Faramea nitida","LC"
"759","Faramea occidentalis","LC"
"760","Faramea platyneura","LC"
"761","Faramea porophylla","LC"
"762","Ferdinandusa elliptica","LC"
"763","Ferdinandusa paraensis","LC"
"764","Ferdinandusa speciosa","LC"
"765","Ficus adhatodifolia","LC"
"766","Ficus albert","LC"
"767","Ficus apollinaris","LC"
"768","Ficus carautana","LC"
"769","Ficus christianii","LC"
"770","Ficus cremersii","LC"
"771","Ficus donnell","LC"
"772","Ficus duckeana","LC"
"773","Ficus ernanii","LC"
"774","Ficus goiana","LC"
"775","Ficus hatschbachii","LC"
"776","Forestiera cartaginensis","LC"
"777","Forestiera rhamnifolia","LC"
"778","Frangula grandiflora","EN"
"779","Fraxinus dubia","LC"
"780","Freziera guatemalensis","LC"
"781","Fridericia bahiensis","LC"
"782","Fuchsia arborescens","LC"
"783","Funifera ericiflora","LC"
